,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
24.Orange,0.0,0.0,0.10204081632653061,0.0,0.061224489795918366,0.02040816326530612,0.0,0.0,0.0,0.09183673469387756,0.20408163265306123,0.00510204081632653,0.11734693877551021,0.0,0.0,0.01020408163265306,0.015306122448979591,0.22448979591836735,0.0663265306122449,0.0,0.0,-0.07,-0.08,-0.08,-0.09,-0.03,-0.15,-0.04,0.03
24.Pink,0.0,0.0,0.18181818181818182,0.0,0.10909090909090909,0.0,0.0,0.0,0.00909090909090909,0.12727272727272726,0.24545454545454545,0.0,0.10909090909090909,0.0,0.0,0.02727272727272727,0.0,0.18181818181818182,0.15454545454545454,0.00909090909090909,0.00909090909090909,-0.06,-0.05,-0.06,0.04,-0.07,-0.25,0.0,-0.02
25.Pink,0.0,0.0,0.16541353383458646,0.0,0.07518796992481203,0.0,0.0,0.0,0.0,0.10526315789473684,0.12030075187969924,0.0,0.09022556390977443,0.0,0.0,0.045112781954887216,0.0,0.17293233082706766,0.05263157894736842,0.0,0.007518796992481203,-0.07,-0.07,-0.12,0.01,-0.1,0.01,0.04,-0.03
25.Orange,0.0,0.0,0.07446808510638298,0.0,0.07446808510638298,0.010638297872340425,0.0,0.0,0.010638297872340425,0.02127659574468085,0.2127659574468085,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.1595744680851064,0.0425531914893617,0.010638297872340425,0.0,0.15,0.04,-0.08,-0.04,-0.01,0.05,-0.06,0.07
25.Blue,0.0,0.0,0.08641975308641975,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.04938271604938271,0.12345679012345678,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.2345679012345679,0.06172839506172839,0.024691358024691357,0.0,-0.08,-0.07,-0.08,-0.05,-0.07,-0.08,0.1,-0.05
26.Pink,0.0,0.0,0.2191780821917808,0.0,0.1780821917808219,0.0273972602739726,0.0,0.0,0.0,0.1232876712328767,0.3287671232876712,0.0,0.136986301369863,0.0,0.0,0.0273972602739726,0.0,0.2328767123287671,0.0547945205479452,0.0,0.0,-0.04,0.12,-0.02,-0.01,0.08,0.01,-0.06,0.0
26.Blue,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.06060606060606061,0.24242424242424243,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.18181818181818182,0.030303030303030304,0.0,0.0,-0.04,-0.07,0.05,-0.04,-0.03,0.04,-0.02,0.0
26.Orange,0.0,0.0,0.2,0.0,0.16923076923076924,0.0,0.0,0.0,0.0,0.07692307692307693,0.16923076923076924,0.0,0.15384615384615385,0.0,0.0,0.03076923076923077,0.0,0.15384615384615385,0.046153846153846156,0.03076923076923077,0.0,0.04,-0.03,-0.06,-0.17,-0.11,-0.03,0.02,0.0
27.Pink,0.0,0.0,0.15384615384615385,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.1794871794871795,0.34615384615384615,0.0,0.0641025641025641,0.0,0.0,0.05128205128205128,0.0,0.3974358974358974,0.11538461538461539,0.01282051282051282,0.01282051282051282,0.02,-0.02,-0.05,-0.04,-0.03,-0.24,0.01,-0.04
27.Orange,0.0,0.0,0.17557251908396945,0.0,0.12213740458015267,0.007633587786259542,0.0,0.0,0.015267175572519083,0.16793893129770993,0.2748091603053435,0.0,0.13740458015267176,0.0,0.0,0.0,0.007633587786259542,0.21374045801526717,0.09923664122137404,0.007633587786259542,0.0,0.01,-0.0,-0.17,0.21,-0.01,0.13,-0.0,0.03
27.Blue,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.02631578947368421,0.2894736842105263,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.23684210526315788,0.05263157894736842,0.0,0.0,-0.01,-0.0,0.04,-0.0,-0.01,0.0,-0.06,0.2
28.Blue,0.0,0.0,0.2097560975609756,0.0,0.15121951219512195,0.014634146341463415,0.0,0.0,0.0,0.09268292682926829,0.25853658536585367,0.004878048780487805,0.15121951219512195,0.0,0.0,0.02926829268292683,0.0,0.2634146341463415,0.14146341463414633,0.0,0.0,-0.13,0.01,-0.02,-0.0,0.03,0.04,-0.02,-0.04
28.Orange,0.0,0.0,0.13559322033898305,0.0,0.07344632768361582,0.01694915254237288,0.0,0.005649717514124294,0.005649717514124294,0.04519774011299435,0.24858757062146894,0.0,0.14124293785310735,0.0,0.0,0.011299435028248588,0.0,0.2824858757062147,0.0847457627118644,0.0,0.0,-0.05,0.02,-0.04,-0.16,-0.1,0.15,-0.05,0.0
28.Pink,0.0,0.0,0.06097560975609756,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.024390243902439025,0.15853658536585366,0.0,0.08536585365853659,0.0,0.0,0.024390243902439025,0.0,0.14634146341463414,0.13414634146341464,0.0,0.0,-0.04,0.06,-0.04,0.05,0.03,-0.03,-0.15,-0.03
3.Green,0.0,0.0,0.21428571428571427,0.0,0.1326530612244898,0.01020408163265306,0.0,0.0,0.0,0.07142857142857142,0.23469387755102042,0.01020408163265306,0.21428571428571427,0.0,0.0,0.04081632653061224,0.01020408163265306,0.336734693877551,0.061224489795918366,0.0,0.0,-0.2,-0.09,-0.15,-0.11,-0.19,-0.17,-0.16,-0.13
3.Pink,0.0,0.0,0.09433962264150944,0.0,0.03773584905660377,0.009433962264150943,0.0,0.009433962264150943,0.0,0.018867924528301886,0.16981132075471697,0.0,0.19811320754716982,0.0,0.0,0.0,0.0,0.08490566037735849,0.09433962264150944,0.0,0.009433962264150943,-0.08,-0.09,-0.11,-0.16,-0.07,-0.04,-0.14,-0.09
4.Blue,0.0,0.0,0.11267605633802817,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.11267605633802817,0.11267605633802817,0.0,0.09859154929577464,0.0,0.0,0.04225352112676056,0.0,0.22535211267605634,0.056338028169014086,0.0,0.0,-0.03,0.03,-0.26,-0.13,-0.08,0.14,0.1,0.0
4.Orange,0.0,0.0,0.275,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.025,0.0,0.0,0.05,0.0,0.15,0.025,0.0,0.0,-0.13,-0.08,-0.07,-0.07,0.11,0.05,-0.12,0.0
4.Yellow,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.18604651162790697,0.046511627906976744,0.0,0.0,-0.01,-0.01,-0.11,0.03,-0.03,-0.0,-0.2,0.0
5.Orange,0.0,0.0,0.06666666666666667,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.1111111111111111,0.13333333333333333,0.0,0.12222222222222222,0.0,0.0,0.07777777777777778,0.011111111111111112,0.25555555555555554,0.044444444444444446,0.0,0.0,-0.12,0.03,0.15,0.05,-0.09,0.06,0.07,0.14
5.Blue,0.0,0.0,0.20610687022900764,0.0,0.07633587786259542,0.0,0.0,0.0,0.0,0.04580152671755725,0.12213740458015267,0.0,0.06870229007633588,0.0,0.0,0.030534351145038167,0.0,0.2824427480916031,0.05343511450381679,0.007633587786259542,0.0,-0.01,-0.07,-0.08,-0.08,-0.03,0.05,-0.01,0.01
5.Pink,0.0,0.0,0.09836065573770492,0.0,0.03278688524590164,0.01639344262295082,0.0,0.0,0.0,0.0,0.2786885245901639,0.0,0.16393442622950818,0.0,0.0,0.0,0.0,0.32786885245901637,0.16393442622950818,0.0,0.0,-0.0,0.01,0.06,-0.1,-0.02,-0.03,-0.03,0.0
5.Yellow,0.0,0.0,0.28865979381443296,0.0,0.18556701030927836,0.041237113402061855,0.0,0.0,0.010309278350515464,0.10309278350515463,0.35051546391752575,0.010309278350515464,0.2268041237113402,0.0,0.0,0.030927835051546393,0.0,0.27835051546391754,0.1134020618556701,0.020618556701030927,0.0,0.07,-0.1,-0.1,-0.13,0.0,0.11,-0.08,-0.05
